Biochar_Dosage_g_L,Surface_Area_m2_g,Pore_Size_nm,Pore_Volume_cm3_g,Electrical_Conductivity_S_m,Electron_Donating_Capacity_mmol_g,Electron_Accepting_Capacity_mmol_g,pH,Temperature_C,HRT_days,Methane_Yield_mL_CH4_gVS
4.23,132.8,40.78,0.322,6.746,2.442,1.303,6.83,50.5,10.8,233.67
7.23,1162.4,43.87,0.953,7.998,0.758,4.564,9.29,45.7,25.3,275.91
0.1,703.3,34.73,1.363,0.806,4.646,0.313,8.39,53.9,20.4,222.22
3.09,283.8,28.91,1.485,2.318,4.49,4.759,6.23,44.7,10.1,261.75
1.55,340.2,8.89,1.081,2.077,2.509,2.826,9.05,34.9,15.5,231.82
1.01,905.4,23.88,1.111,9.173,4.298,1.944,8.45,40.7,20.7,258.96
1.94,274.7,17.91,1.368,7.113,2.151,4.976,8.12,38.4,25.4,255.86
3.52,718.6,12.03,0.631,5.539,3.449,0.386,8.56,54.8,11.1,266.59
4.03,1165.5,30.03,0.412,3.046,2.05,2.632,6.89,39.5,21.0,265.95
5.43,1023.9,16.3,0.301,8.349,2.578,0.252,8.1,54.8,26.0,272.89
4.25,325.8,45.9,0.223,4.354,1.029,2.899,8.85,43.0,23.0,238.08
6.88,617.8,45.57,1.228,9.235,4.828,0.984,6.19,34.3,28.6,259.16
2.12,762.9,13.6,0.263,7.061,1.542,3.192,6.46,31.9,11.5,252.61
8.79,1003.3,6.43,0.433,4.781,0.607,4.907,8.95,39.3,15.5,311.94
0.37,230.3,10.46,1.238,1.263,0.807,4.387,8.16,33.1,28.4,215.84
6.74,71.4,25.48,0.5,9.76,0.169,2.314,7.86,45.9,25.3,243.26
4.23,130.5,36.7,1.475,1.599,3.608,3.571,6.87,40.3,22.0,220.14
5.63,609.3,11.2,0.437,2.027,2.866,3.91,7.03,54.8,26.7,282.86
1.49,747.3,13.15,0.824,4.312,3.993,2.525,9.05,53.2,27.9,292.3
2.06,704.2,42.73,0.506,4.043,2.585,2.69,7.48,33.7,29.5,231.75
8.03,415.0,21.38,1.371,1.468,3.98,0.839,6.23,39.9,30.0,273.62
9.69,1186.9,31.22,0.582,7.293,3.509,1.91,9.14,41.5,12.8,346.23
3.2,716.7,12.45,0.679,1.888,3.911,0.797,6.71,44.0,11.4,277.3
6.95,487.2,6.0,0.793,6.439,2.092,3.662,8.89,49.5,11.5,264.96
8.78,683.6,26.28,1.411,7.543,3.274,2.437,9.09,42.2,10.3,283.39
8.96,907.1,24.38,0.095,2.108,0.981,2.3,7.7,40.5,29.4,276.15
0.94,819.6,8.48,1.089,6.01,1.677,4.441,8.09,36.5,11.9,244.79
0.49,354.7,31.47,1.342,7.49,0.946,2.685,7.85,52.8,26.8,212.91
1.78,126.3,27.66,0.09,6.383,2.102,2.105,8.19,30.6,23.7,224.39
8.79,475.6,33.05,0.807,5.972,1.283,1.418,8.99,50.5,19.8,258.19
1.07,774.2,8.08,0.523,2.956,2.094,0.453,6.99,34.7,16.9,265.36
4.27,291.7,37.82,1.296,7.316,4.879,2.149,9.09,47.1,17.1,248.14
9.58,915.7,11.88,0.86,9.453,1.67,0.226,7.99,38.9,15.1,305.7
5.38,126.5,26.45,1.051,4.256,4.914,1.527,6.4,54.4,28.2,256.55
6.95,349.4,39.48,0.707,7.822,3.218,2.567,6.79,33.1,24.5,262.56
3.22,975.5,2.09,0.961,0.562,1.938,4.833,8.09,34.7,10.5,274.74
6.9,272.4,16.89,0.471,8.353,4.302,0.636,6.84,52.2,19.2,284.89
8.36,785.4,43.77,0.064,1.923,3.136,3.398,6.46,44.6,15.6,281.04
0.28,653.4,42.39,0.886,3.952,1.335,2.55,6.57,37.7,10.6,223.15
7.53,1113.5,27.38,0.502,3.002,3.985,3.908,8.96,30.0,27.7,311.66
9.89,352.8,43.46,0.8,0.802,2.221,0.804,8.11,35.7,25.4,258.27
7.51,125.9,47.54,1.379,9.046,1.852,0.508,9.37,33.6,16.6,287.48
2.88,895.3,41.49,0.668,3.702,1.718,2.056,7.21,35.1,25.9,267.46
7.91,938.0,42.85,0.409,5.307,3.517,4.005,8.08,52.4,16.5,303.49
1.12,1094.0,5.84,0.588,4.942,1.416,1.039,8.1,51.8,16.2,290.88
4.53,1121.8,32.91,1.401,1.322,4.061,3.862,8.15,47.5,28.6,278.31
9.1,66.0,35.47,1.408,2.065,1.547,1.522,6.21,41.8,29.5,259.53
3.01,319.5,30.9,1.274,0.763,2.766,1.163,8.63,50.7,20.5,225.75
2.95,759.3,40.18,1.384,5.08,2.491,0.182,9.32,42.4,29.0,237.79
1.39,1141.4,2.69,0.38,2.616,4.291,2.053,7.87,39.1,27.8,272.32
0.29,1142.7,38.74,0.177,3.571,4.453,1.967,6.67,36.9,20.4,267.64
6.82,690.2,36.85,0.38,1.082,1.003,3.331,8.64,53.1,17.5,231.94
2.2,1102.9,13.73,0.506,7.876,2.968,0.448,6.03,39.7,24.2,287.06
2.73,787.8,13.6,0.303,1.067,4.501,0.848,7.15,42.3,19.1,250.95
4.97,498.5,31.98,0.93,9.857,2.286,0.181,9.21,36.4,22.1,271.13
0.63,608.9,17.92,0.65,1.772,4.617,0.658,8.06,52.1,29.8,230.84
5.78,745.0,40.03,1.234,5.724,1.467,3.294,8.99,39.6,25.5,290.07
